Progress,Duration (in seconds),Consent,Gender1,Race1,Race1_6_TEXT,Citizen,USborn,Residency_1,Residency_2,ConservativeIdeo,LiberalIdeo,GenPartyAffiliation,GenPartyAffiliation_4_TEXT,threatTime_First Click,threatTime_Last Click,threatTime_Page Submit,threatTime_Click Count,assuagedThreatTime_First Click,assuagedThreatTime_Last Click,assuagedThreatTime_Page Submit,assuagedThreatTime_Click Count,purposeAllCond,groupGrowth,whitePopChange,groupPower,reasonDemoShift,Readability,Informativity,systemThreat,USheaded,certain,statusThreatPercept,changecult,racetied,policy-timing_First Click,policy-timing_Last Click,policy-timing_Page Submit,policy-timing_Click Count,ImmigrantCitizenship,ImmigrationNumber,MilitaryFund,AffirmativeAction,Healthcare,EnglishNationalLang,Prisons,GenPolSpectrum,Age,Education,Income,primeRepeat,Guess,Comments,Condition
100,338,1,2,3,,1,1,1,4,6,3,2,,5.406,49.053,49.795,18,,,,,Decline in white boomers making babies ,4,5,2,White people no longer having kids,3,3,3,1,1,4,19,16,7.447,102.057,102.901,40,3,2,3,4,7,4,7,6,29,2,4,2,Racial minorities ,None,Status Threat
100,419,1,1,3,,1,1,1,2,7,7,2,,,,,,0,0,67.354,0,to show the consensus for future generation racial majoritys and minoritys,4,5,2,higher birth rates from young hispanic families,2,2,6,1,3,7,19,13,12.631,82.374,83.476,9,5,1,3,7,7,7,1,7,24,2,2,2,to determine people actually feeling on racial majority and minority,,Assuaged Threat
100,503,1,2,3,,1,1,1,4,2,2,1,,0,0,113.175,0,,,,,White Americans Could be the Minority Quicker that Expected,4,3,2,Birthrate ,1,1,2,4,2,6,18,16,9.443,82.929,84.944,8,3,3,3,6,1,2,1,2,73,5,7,2,Will white American's remain the dominate group in the future,,Status Threat
100,326,1,1,3,,1,1,1,34,6,6,2,,,,,,0,0,74.548,0,To show whites will become a minority in 1 generation,1,5,2,economy improves,2,2,6,1,6,6,18,18,6.7,54.989,56.046,14,5,1,2,7,1,7,7,7,49,2,3,2,How different groups react to a news article,,Assuaged Threat
100,325,1,3,3,,1,1,1,10,4,4,3,,,,,,8.864,64.578,68.299,19,Racial minorities will become the majority ,4,5,2,Immigration and not a lot of whites are having children ,1,2,4,2,2,5,17,16,4.85,52.938,53.919,27,3,2,3,6,4,4,4,4,28,5,3,2,Understand views about the US,,Assuaged Threat
100,390,1,2,3,,1,1,1,26,1,2,1,,3.312,50.233,51.002,11,,,,,To inform that the Census believes non-Hispanic whites will be the minority and diverse races will make up the majority by 2040,4,5,2,Higher immigration and birth rates among minorities ,1,2,1,2,3,1,18,13,2.195,67.784,69.183,22,3,5,2,1,1,2,1,1,35,2,2,1,To determine whether I feel threatened by the decrease of white Americans in society,,Status Threat
100,202,1,2,3,,1,1,1,11,5,3,3,,3.371,36.812,43.357,9,,,,,to inform about the state of the US,4,3,2,increased immigration ,1,2,5,2,2,5,17,17,3.478,38.268,39.08,33,3,2,2,7,4,7,4,4,28,2,4,2,the US will be majority minorities by 2042,,Status Threat
100,408,1,2,3,,1,1,1,44,1,1,1,,,,,,6.658,42.359,43.501,13,exploration of demographic trends,4,4,2,differing birthrates of different racial groups,1,1,1,4,6,6,18,13,4.519,73.536,74.3,36,4,4,3,3,1,2,1,2,57,5,5,2,racial minority groups will increase in the future,,Assuaged Threat
100,435,1,2,3,,1,1,1,24,1,1,1,,2.206,151.55,153.326,10,,,,,"To educate and convey that racial minority populations will exceed whites sooner than predicted, in 2042",4,3,2,Higher Hispanic birth rates,2,2,1,3,2,4,18,18,3.118,49.781,51.694,21,3,3,1,1,1,1,1,1,29,6,5,2,"That reading the article would shape how people would respond to the questions, ie. White Americans would feel more threatened and answer conservatively to questions s ",,Status Threat
100,275,1,2,3,,1,1,1,23,5,2,3,,,,,,0,0,74.215,0,to show that whites will be in the minority in the near future,4,4,1,hispanic people are having more babies and have a higher birth:death ratio than white people,1,1,3,3,5,3,14,14,5.769,49.106,49.688,9,3,4,3,7,2,6,1,4,28,7,5,2,that people who heard the story were more likely to agree with it ,none,Assuaged Threat
100,884,1,2,3,,1,1,1,10,6,6,2,,,,,,74.007,74.007,220.608,1,A racial minority numbers compared to majority in the US,4,5,1,white baby boomers are starting to age and minority groups having more babies.,1,1,6,2,5,6,18,15,16.375,170.226,171.36,8,5,1,5,7,4,7,5,6,52,4,4,2,Whites will become the minority long before originally predited,,Assuaged Threat
100,393,1,1,3,,1,1,1,25,5,5,4,Non Affiliated ,,,,,0,0,65.188,0,Showing the rising of the White minority.,1,4,1,child birth,1,2,4,1,1,5,18,17,10.654,79.069,79.664,15,3,1,1,4,3,4,2,4,29,4,1,2,collected data,,Assuaged Threat
100,779,1,1,3,,1,1,1,10,1,1,1,,21.333,124.152,142.157,9,,,,,The purpose of this release is to inform readers that by 2042 the U.S. will a majority minority state.,4,2,2, A rise in immigration and Hispanic birthrate.,2,2,1,2,3,5,18,17,4.161,103.822,107.01,13,2,5,1,2,1,1,1,2,27,5,1,2,Minority populations are growing faster than the white population,The article seemed like a racist dog whistle,Status Threat
100,339,1,2,3,,1,1,1,36,1,2,1,,,,,,0,0,103.768,0,To show that non-whites will hold the majority of the population of the US sooner than expected.,4,4,1,"Because of immigration, there are more and more hispanics in the US....the birth rate of hispanics is 9 births to 1 death, while the white population is 1 for 1",1,1,4,2,2,4,17,15,4.033,49.964,51.052,11,3,3,2,3,1,6,1,2,60,2,9,2,"I'm not sure, to be honest",,Assuaged Threat
100,408,1,2,3,,1,1,1,23,5,4,3,,14.344,58.511,76.061,5,,,,,To talk about changing demigraphics if US population ,4,4,2,Birth rate,2,3,2,2,3,3,18,14,6.336,72.532,73.271,26,3,3,3,6,5,6,4,5,35,5,7,2,To see how people would respond to being a racial minority,,Status Threat
100,528,1,2,3,,1,1,1,34,1,1,1,,3.948,3.948,81.381,1,,,,,to talk about white people becoming the minority group way earlier than once anticipate,4,4,2,white baby boomers are no longer having babies but the younger hispanic crowd is ,1,2,1,4,4,7,19,18,0.642,175.313,176.488,21,1,5,2,1,2,2,1,1,34,3,2,2,minority groups will be prominent by 2040,,Status Threat
100,482,1,2,3,,1,1,1,44,5,5,1,,,,,,23.094,75.357,81.922,11,How us demographics are changing,4,5,2,Influx of immigrants ,1,1,6,2,2,5,18,15,13.553,105.923,107.102,36,3,1,5,7,1,7,5,5,52,5,8,2,Political affiliation and views on minorities ,,Assuaged Threat
100,535,1,2,3,,1,1,1,6,2,2,1,,134.96,134.96,138.696,1,,,,,racial minorities are becoming the majority in america ,4,4,2,more hispanic births while while births have decreased,1,2,2,1,2,6,18,16,12.319,93.201,94.337,15,3,4,2,4,1,4,1,2,25,5,9,2,something about political beliefs ,,Status Threat
100,650,1,2,3,,1,1,1,39,2,2,1,,0,0,114.797,0,,,,,How minorities could change the election. Minorities could be the majority by 2050. ,4,4,2,Increased births among the Latinos ,2,2,2,2,1,2,17,14,21.659,143.553,149.396,8,4,2,3,6,1,4,2,3,55,3,4,2,Increase in minority population ,,Status Threat
100,749,1,2,3,,1,1,1,47,1,1,1,,,,,,0,0,134.047,0,To provide details about the shift in US population demographics away from a white majority.,4,4,1,immigration and continued decrease in white population birth rates while other populations will have increasing birth rates.,1,1,2,2,3,7,18,17,33.014,112.932,114.269,10,3,4,5,6,3,7,1,2,67,6,4,2,The US population is becoming increasingly diverse and less Caucasian at a faster than expected pace. .,,Assuaged Threat
100,367,1,2,3,,1,1,1,14,2,2,1,,8.025,47.654,65.391,4,,,,,To inform people of an updated prediction regarding the racial make-up of the US,4,5,2,Higher birthrates for non-white individuals than expected,1,3,2,2,2,5,17,15,7.739,65.851,67.047,12,2,4,1,3,1,4,1,2,27,6,5,2,How reading an article about changing minority/majority groups impacts feelings toward certain policies,,Status Threat
100,510,1,2,3,,1,1,1,43,1,2,1,,2.209,79.494,80.9,8,,,,,Statement on change in population statistics,4,4,2,"Baby boomers are generally past child bearing age, while Hispanics are having children at a 9:1 ratio.",1,1,6,2,6,6,19,16,22.287,114.736,115.765,21,3,1,1,7,1,6,1,2,60,3,2,2,no idea,,Status Threat
100,418,1,2,3,,1,1,1,24,1,1,3,,,,,,0.678,94.522,110.131,2,To state that minority people are estimated to be the majority as of 2042.,4,5,1,The lack of white births and the increase in Hispanic births.,1,1,1,2,3,5,19,18,0.626,68.344,69.207,17,3,4,2,2,1,4,1,2,51,5,3,2,Racial disparity,,Assuaged Threat
100,348,1,1,3,,1,1,1,39,2,2,3,,,,,,4.533,10.184,53.234,2,The purpose of the press release is to communicate the findings of a new analysis of 2020 U.S. Census Bureau data regarding the demographic shifts in the United States.,4,3,1,One of the main reasons outlined in the press release for the expected demographic shift is the combination of rapid immigration growth and significantly higher birthrates among racial and ethnic minorities.,2,2,2,2,2,4,16,14,4.733,61.134,61.918,39,1,3,1,4,1,6,2,2,27,3,7,2,American population thoughts on demographic changes.,,Assuaged Threat
100,364,1,2,3,,1,2,1,37,1,2,1,,,,,,0,0,73.832,0,draw attention to population changes and racial disparities,4,5,1,immigration,1,1,4,4,4,5,19,16,10.92,71.863,72.946,10,2,4,3,6,2,7,1,2,44,7,6,2,not sure,,Assuaged Threat
100,436,1,1,3,,1,1,1,22,3,5,3,,0,0,124.051,0,,,,,Inform the readers that minority populations are growing faster than originally thought,4,3,2,Radical immigration,1,1,2,3,5,1,17,14,8.922,77.458,78.057,18,3,4,2,7,5,6,2,4,30,6,8,2,Understand how white Americans feel about the changing landscape in terms of minorities,,Status Threat
100,550,1,2,3,,1,1,1,15,2,1,1,,,,,,1.604,130.646,137.796,36,White people will become minority faster than predicted. ,4,5,2,White boomers are not having babies now ,1,1,5,2,4,6,18,15,7.449,116.692,119.129,54,2,4,1,2,1,1,2,2,50,5,10,2,Assessing political views about race in the US. ,,Assuaged Threat
100,1069,1,2,3,,1,1,1,38,1,2,1,,1.104,373.527,374.338,69,,,,,To show racial diversity in population,4,5,2,Racial minority births,3,2,3,2,1,7,19,15,68.027,243.721,245.221,50,5,1,3,6,2,7,1,3,31,3,1,2,White americans will soon be the minority in the US,,Status Threat
100,655,1,2,3,,1,1,1,10,3,5,3,,,,,,0,0,198.667,0,inform on possible upcoming change in racial minority populations,4,4,1,"more minorities, specifically Hispanics, are having more children than whites.",1,1,1,2,5,6,18,16,15.194,161.291,161.911,16,2,2,2,6,3,2,1,4,22,5,6,2,not sure,,Assuaged Threat
100,567,1,2,3,,1,1,1,24,2,2,1,,0,0,141.177,0,,,,,To discuss trends of demographics and population in the future.,4,5,2,The white population has a lower birth to death ratio than minorities.,1,2,2,3,3,5,17,14,15.327,116.742,117.781,9,2,4,3,4,1,2,2,2,33,6,9,2,Political views and how they affect views on the population change,,Status Threat
100,291,1,1,3,,1,1,1,5,5,6,1,,,,,,1.211,36.866,41.495,30,To get the cecis right,1,2,1,To keep everybody good,1,1,1,4,6,5,19,17,4.698,27.086,27.6,23,5,1,4,1,1,5,1,3,40,4,4,1,The races in americar,,Assuaged Threat
100,619,1,1,3,,1,1,1,22,1,2,1,,4.199,115.963,142.101,12,,,,,Call attention to the rise of the white population becoming a minority quicker than expected ,4,4,2,Baby boomers surpassing child bearing age ,2,2,2,3,4,2,17,14,1.839,123.896,125.54,31,3,2,3,5,4,5,2,2,61,6,10,2,Are whites becoming a minority and will this change society ,,Status Threat
100,402,1,2,3,,1,1,1,39,1,1,1,,,,,,4.956,80.545,99.387,7,The population of the the United States changing. And minorities being the more,4,5,2,Baby boomers are past child bearing years and Hispanics are pregnant more,1,1,1,3,1,4,16,13,5.432,65.919,66.797,25,3,3,1,4,1,4,5,1,55,3,6,2,No idea,,Assuaged Threat
100,768,1,2,3,,1,1,1,17,2,3,3,,,,,,0,0,136.716,0,To discuss changing demographics in the United States,4,3,1,Hispanic Americans are having substantially more children than White Americans.,1,1,1,2,3,6,18,14,23.283,134.694,135.848,9,3,3,2,3,1,1,2,3,43,6,3,2,People in power fear that their status and influence will decrease as minority groups gain a place in the country.,,Assuaged Threat
100,574,1,2,3,,1,1,1,8,1,2,1,,0,0,135.064,0,,,,,the purpose of the press release is to report that the population is becoming more ethnically diverse faster than expected,4,4,2,one of the main reasons for the demographic shift is the higher birth rates in the minority groups,1,2,2,4,4,5,17,16,11.873,78.71,79.887,9,3,3,1,2,1,4,2,2,55,5,7,2,the hypothesis of this study is to determine if the article influences the participant's answers to the follow up questions,,Status Threat
100,713,1,1,3,,1,1,1,48,5,7,2,,0,0,94.529,0,,,,,To notify Americans of the statistics and what is happening.,4,3,2,"Whites are at 1 baby to 1 death, compared to other racial groups that are having more babies than deaths.",3,3,3,2,2,5,17,14,24.054,133.297,134.449,9,3,3,3,7,6,7,5,5,46,5,8,2,To see if different articles changed views.,,Status Threat
100,635,1,2,3,,1,1,1,51,4,5,3,,7.439,126.918,135.435,5,,,,,To inform people that the minority group will be the majority groups by 2042,4,4,2,increase in immigration,1,1,1,2,5,3,19,14,13.377,99.76,100.363,27,3,2,5,3,3,3,3,4,38,5,7,2,Political affiliations and beliefs on policies,,Status Threat
100,557,1,2,3,,1,1,1,39,6,6,2,,,,,,0,0,112.868,0,The purpose of the press release was to report findings about demographic changes in the United States since the Census. The article reported that non-Hispanic whites will soon be the minority among races in the United States.,3,4,2,"Increasing immigration, baby boomers reaching non-childbearing age and Hispanics having more children.",1,1,5,2,2,3,17,17,7.621,59.057,59.945,8,4,1,5,6,2,7,6,5,34,5,6,2,I think the purpose of this study was to examine how people process information on change based on their political ideologies. ,Thank you!,Assuaged Threat
100,531,1,2,3,,1,1,1,10,1,1,1,,0,0,118.697,0,,,,,To inform readers about new developments in census data.,4,4,1,Immigration and higher birth rates.,2,2,1,4,2,3,17,18,11.049,76.219,77.261,11,1,5,1,1,1,2,1,1,22,5,10,2,"If participants read an article with specific language, then their answers to subjective questions about the article will be swayed.",,Status Threat
100,679,1,2,3,,1,1,1,6,7,7,2,,,,,,0,0,187.721,0,Whites will be the minority race by 2040.,4,3,1,Hispanics have 10 times more children than whites. ,1,2,6,2,5,2,17,16,19.288,80.631,81.665,8,3,1,3,7,7,4,1,6,68,4,2,2,What white people have to say about the article. ,"I don't care what color or race a person is, but it seems that the wrong kind of people are having too many kids. Putting a bunch of craziness in the country. ",Assuaged Threat
100,239,1,2,3,,1,1,1,49,1,2,3,,,,,,0,0,78.054,0,to talk about how america will become a white minority country soon ,4,4,1,more hispanic/latinos are having children than other groups ,1,1,2,2,2,5,18,14,3.199,42.097,43.233,17,3,2,1,2,1,1,2,1,29,6,6,2,which groups of americans feel threatened by becoming a minority ,none,Assuaged Threat
100,329,1,2,3,,1,1,1,48,5,6,3,,0,0,72.209,0,,,,,To share information regarding how minorities will make up a majority of the US population more quickly than expected.,4,4,2,High hispanic birth rates,1,1,5,2,2,6,,16,10.78,70.501,71.187,13,3,1,3,7,7,6,5,5,43,5,6,2,To gather opinion on topics based on an article that was presented.,,Status Threat
100,308,1,1,3,,1,1,1,11,1,1,1,,24.451,80.059,85.599,11,,,,,"To examine how demographics are changing the US, with regards to white people becoming a minority.",4,3,2,Birth rates are much higher among minorities than whites.,1,1,2,2,3,6,18,13,7.047,57.992,58.979,12,3,2,3,4,1,2,1,1,28,5,4,2,gauge ideas of racial demographics and their effects on US society,,Status Threat
100,568,1,2,3,,1,1,1,48,1,2,1,,0,0,136.143,0,,,,,Predicting that ethnic minority groups will be the majority of the population by 2042,4,4,2,Hispanic people have a death to birth rate of 1:9 whereas white people have a rate of 1:1.,2,3,2,3,2,3,17,14,11.744,109.407,110.583,9,2,5,2,4,1,4,1,2,26,5,3,2,Racial minorities will become the majority of the population soon.,,Status Threat
100,749,1,2,3,,1,1,1,44,5,3,2,,36.118,199.589,203.935,8,,,,,To inform the reader of the theory that by 2042 non-Hispanic “whites” will be considered the minority.,4,4,2,People of racial minorities are having more children and the white baby boomers are past child bearing years. ,2,1,5,4,3,3,17,15,6.895,117.583,118.801,28,3,2,3,6,2,7,2,5,33,3,3,2,To see if the information we attained through the article compelled us to answer questions differently given that information.,,Status Threat
100,380,1,1,3,,1,1,1,14,3,3,3,,0,0,80.04,0,,,,,To talk about how white people will be the minority in the future,4,3,2,Immigration and a large increase in births in the Hispanic community,1,1,1,3,3,5,18,15,12.152,87.902,89.405,8,3,3,1,5,3,4,1,4,27,6,10,2,"In the future, white people will be the minority",,Status Threat
100,565,1,2,3,,1,1,1,44,6,5,2,,0,0,156.844,0,,,,,To explain a shift in the racial makeup of US population.,4,4,2,Hispanic immigration,1,1,3,2,2,5,17,14,16.56,108.678,109.494,10,2,2,4,6,5,5,2,6,55,6,9,2,If reading the article would influence my answers to the questions that followed.,,Status Threat
100,543,1,1,3,,1,1,1,18,2,2,1,,,,,,38.282,168.872,170.079,37,To announce that minorities will outnumber whites in the US  faster than previously pre.,4,3,1,Whites are not having more children. Hispanics are having more children. ,1,1,2,3,3,4,17,15,10.122,105.951,106.977,44,3,3,2,3,5,2,2,3,46,5,3,2,Testing political beliefs ,Thanks ,Assuaged Threat
100,425,1,1,3,,1,1,1,36,1,7,4,Socialist,,,,,0,0,41.04,0,Communicate shift in demographics,4,4,2,Immigration,1,2,6,1,2,5,,13,10.239,85.242,86.787,14,1,5,1,4,1,1,1,1,42,4,10,2,Gauge shifting racial demographics into a political backdrop,,Assuaged Threat
100,399,1,2,3,,1,1,1,31,1,1,1,,0,0,76.492,0,,,,,to show the growing diversity in the United States,4,5,2,birth rates in Hispanic populations vs. birth rates in White populations,1,2,1,4,3,6,17,17,4.913,47.264,48.648,9,3,3,3,2,1,1,1,2,60,3,9,2,do White people see the growth of minority populations as a threat to their way of life,,Status Threat
100,465,1,2,3,,1,1,1,44,1,2,3,,,,,,0,0,127.065,0,Inform readers about a predicted shift in minorities in the US,4,3,1,Growth of the Hispanic/Latino population while the White population remains flat. ,2,1,2,2,2,3,17,15,8.336,65.123,66.281,12,2,4,1,3,1,2,1,3,31,5,4,2,Something to do with racial bias,,Assuaged Threat
100,386,1,2,3,,1,1,1,39,5,5,2,,9.19,51.735,53.822,7,,,,,To inform that the minority race will be white Americans by 2042.,4,5,2,White baby boomers generation is past the childbearing age.,1,1,6,2,2,6,19,16,7.149,81.114,82.057,20,5,1,4,4,6,7,5,5,54,4,4,2,Racial minorities,,Status Threat
100,473,1,2,3,,1,1,1,48,6,4,2,,,,,,5.283,96.917,99.201,22,"To inform that by 2042, the White population will be less than 50%.",4,3,2,Hispanic population boom.,2,3,1,1,1,5,18,13,3.67,53.321,53.721,44,3,5,2,7,7,4,1,6,45,5,8,2,People of different backgrounds can read the information at varying degrees.,Nope,Assuaged Threat
100,206,1,2,3,,1,1,1,6,1,1,1,,38.849,43.994,45.335,5,,,,,to deliver the information that white will be the likely minority,4,4,2,immigration,2,5,1,3,5,5,16,16,2.392,22.64,23.853,8,3,3,3,4,4,4,4,2,36,5,6,2,whites will be the minority,,Status Threat
